condition,variant,threshold,budget,backend,benchmark,sample_index,sample_id_hash,run_status,umr_f1,hbps,task_score
privacy_checker,external_defenses,,0,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.0,1.0,0.0
privacy_checker,external_defenses,,1,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.26087,1.0,0.0
privacy_checker,external_defenses,,2,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.26087,1.0,0.0
privacy_checker,external_defenses,,4,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.26087,1.0,0.0
privacy_checker,external_defenses,,8,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.26087,1.0,0.0
privacy_checker,external_defenses,,16,Graphiti,ETAPP_150x32,0,7584f7b6bb19572b,ok,0.193548,1.0,0.0
privacy_checker,external_defenses,,0,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.266667,0.166667,1.0
privacy_checker,external_defenses,,1,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.266667,0.166667,1.0
privacy_checker,external_defenses,,2,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.266667,0.166667,1.0
privacy_checker,external_defenses,,4,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.266667,0.166667,1.0
privacy_checker,external_defenses,,8,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.3,0.166667,1.0
privacy_checker,external_defenses,,16,Graphiti,ETAPP_150x32,1,244f990ffa5b0669,ok,0.272727,0.166667,1.0
privacy_checker,external_defenses,,0,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.026667,0.0
privacy_checker,external_defenses,,1,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.026667,0.0
privacy_checker,external_defenses,,2,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.015504,0.0
privacy_checker,external_defenses,,4,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.015504,0.0
privacy_checker,external_defenses,,8,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.015504,0.0
privacy_checker,external_defenses,,16,Graphiti,LoCoMo_10conv_1523QA_20speakers,0,35897e29c4809404,ok,0.0,0.025157,0.0
privacy_checker,external_defenses,,0,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.037037,0.0
privacy_checker,external_defenses,,1,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.037037,0.0
privacy_checker,external_defenses,,2,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,4,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,8,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,16,Graphiti,LoCoMo_10conv_1523QA_20speakers,1,03912e6cc1c7328c,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,0,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.0,0.4
privacy_checker,external_defenses,,1,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.12442,0.4
privacy_checker,external_defenses,,2,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.12442,0.4
privacy_checker,external_defenses,,4,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.12442,0.4
privacy_checker,external_defenses,,8,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.25,0.12442,0.4
privacy_checker,external_defenses,,16,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.222222,0.12442,0.4
privacy_checker,external_defenses,,0,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.0,0.52
privacy_checker,external_defenses,,1,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.124422,0.52
privacy_checker,external_defenses,,2,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.124422,0.52
privacy_checker,external_defenses,,4,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.25,0.124422,0.52
privacy_checker,external_defenses,,8,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.272727,0.124422,0.52
privacy_checker,external_defenses,,16,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.25,0.124422,0.52
privacy_checker,external_defenses,,0,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.0,0.0,1.0
privacy_checker,external_defenses,,1,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.153846,0.0,1.0
privacy_checker,external_defenses,,2,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.117647,0.0,1.0
privacy_checker,external_defenses,,4,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.133333,0.0,1.0
privacy_checker,external_defenses,,8,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.125,0.0,1.0
privacy_checker,external_defenses,,16,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.25,0.0,1.0
privacy_checker,external_defenses,,0,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.0,0.0,1.0
privacy_checker,external_defenses,,1,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
privacy_checker,external_defenses,,2,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
privacy_checker,external_defenses,,4,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
privacy_checker,external_defenses,,8,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.285714,0.0,1.0
privacy_checker,external_defenses,,16,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.285714,0.666667,1.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.333333,1.0,0.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.333333,1.0,0.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.333333,1.0,0.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.434783,1.0,0.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.416667,1.0,0.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.153846,0.333333,0.5
privacy_checker,external_defenses,,1,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.153846,0.333333,0.5
privacy_checker,external_defenses,,2,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.153846,0.333333,0.5
privacy_checker,external_defenses,,4,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.153846,0.333333,0.5
privacy_checker,external_defenses,,8,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.333333,0.5
privacy_checker,external_defenses,,16,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.4,0.333333,0.5
privacy_checker,external_defenses,,0,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.084677,0.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.084677,0.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.060424,0.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.060424,0.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.060424,0.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.060424,0.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.037037,0.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.037037,0.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.037037,0.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.021505,0.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.0,0.102067,0.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.2,0.102067,0.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.2,0.102067,0.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.2,0.102067,0.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,PersonaLens,0,f311e0441f587874,ok,0.533333,0.102067,0.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.0,0.0,0.4
privacy_checker,external_defenses,,1,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.0,0.0,0.4
privacy_checker,external_defenses,,2,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.0,0.0,0.4
privacy_checker,external_defenses,,4,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.0,0.353126,0.4
privacy_checker,external_defenses,,8,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.428571,0.353126,0.4
privacy_checker,external_defenses,,16,LangMem+LangGraph,PersonaLens,1,73fba45db1dbfeac,ok,0.428571,0.353126,0.4
privacy_checker,external_defenses,,0,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.0,0.0,1.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.285714,0.0,1.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.285714,0.0,1.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.2,0.0,1.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.2,0.0,1.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,PersonaMem-v2,0,74c4cbe650192503,ok,0.2,0.0,1.0
privacy_checker,external_defenses,,0,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.0,0.0,1.0
privacy_checker,external_defenses,,1,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.571429,0.333333,1.0
privacy_checker,external_defenses,,2,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.571429,0.333333,1.0
privacy_checker,external_defenses,,4,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.571429,0.0,1.0
privacy_checker,external_defenses,,8,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.571429,0.0,1.0
privacy_checker,external_defenses,,16,LangMem+LangGraph,PersonaMem-v2,1,cf1ac6416ef1fb42,ok,0.4,0.333333,1.0
privacy_checker,external_defenses,,0,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,1,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,2,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,4,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,8,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,16,Mem0,ETAPP_150x32,0,259c4fb658fc68a3,ok,0.454545,1.0,0.0
privacy_checker,external_defenses,,0,Mem0,ETAPP_150x32,1,e1bdcda008650218,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,1,Mem0,ETAPP_150x32,1,e1bdcda008650218,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,2,Mem0,ETAPP_150x32,1,e1bdcda008650218,ok,0.0,0.0,0.0
privacy_checker,external_defenses,,4,Mem0,ETAPP_150x32,1,e1bdcda008650218,ok,0.0,0.0,0.0
