benchmark,backend,sample_id_hash,state_token_count::H_rel,state_token_count::H_sum,state_token_count::M_u,state_token_count::S,state_token_count::delete_S,state_token_count::no_memory,state_token_count::swap_S,task_score::H_rel,task_score::H_sum,task_score::M_u,task_score::S,task_score::delete_S,task_score::no_memory,task_score::swap_S,decision_signature::S,decision_signature::swap_S,Task Score Gain,Delete Drop,Swap Task Score Drop,Swap Change
ETAPP,Graphiti,d7ce4cb516b03442,717,173,2435,717,0,0,717,0.5,1.0,1.0,0.75,0.25,0.25,0.5,9c72fc96fcb2f87183818e15,5ca4aceabcf44d3b922db4d1,0.5,0.5,0.25,1.0
ETAPP,Graphiti,15e5473719fd0817,742,742,2536,742,0,0,742,0.5,1.0,1.0,0.75,0.25,0.25,0.5,468c1f2b6ef5a2c864eeb9e4,41a5e0979b7279d538f7dcb3,0.5,0.5,0.25,1.0
ETAPP,LangMem+LangGraph,952a9c2158ceaf4e,639,169,2224,639,0,0,639,0.5,1.0,1.0,0.5,0.25,0.25,0.5,539e432775adcd8e52f8d412,58e33c0eb150cd3d85450492,0.25,0.25,0.0,1.0
ETAPP,LangMem+LangGraph,430dcdb6c271b06a,649,663,2319,663,0,0,639,0.5,1.0,1.0,0.5,0.25,0.25,0.5,539e432775adcd8e52f8d412,539e432775adcd8e52f8d412,0.25,0.25,0.0,0.0
ETAPP,Mem0,8fd12ab8a8a52f42,600,167,2099,600,0,0,600,0.5,1.0,1.0,0.5,0.25,0.25,0.5,539e432775adcd8e52f8d412,58e33c0eb150cd3d85450492,0.25,0.25,0.0,1.0
ETAPP,Mem0,bc0407553c911495,611,623,2190,623,0,0,623,0.5,1.0,1.0,0.5,0.25,0.25,0.5,539e432775adcd8e52f8d412,539e432775adcd8e52f8d412,0.25,0.25,0.0,0.0
LoCoMo,Graphiti,c3e0fd427c2d6503,2801,452,28414,2816,0,0,2812,1.0,0.0,0.0,1.0,0.0,0.0,0.0,b72ecc0c7a2e5d0bfa989b25,13b6799f08f4b125eb0b15db,1.0,1.0,1.0,1.0
LoCoMo,Graphiti,0eb9d0ec915ebed5,2725,146,28414,2726,0,0,2708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,094a408e40d1c06ec19e1145,ec48573962844142bda4b9d3,0.0,0.0,0.0,1.0
LoCoMo,LangMem+LangGraph,862fb8fffe23ccc1,2681,195,27156,2690,0,0,2690,0.666667,0.0,1.0,1.0,0.0,0.0,0.0,b72ecc0c7a2e5d0bfa989b25,5e6c50d65ae516ce2e2af060,1.0,1.0,1.0,1.0
LoCoMo,LangMem+LangGraph,c6a753f4cc3d9fe8,2593,113,27156,2593,0,0,2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,094a408e40d1c06ec19e1145,ec48573962844142bda4b9d3,0.0,0.0,0.0,1.0
LoCoMo,Mem0,488df0f77033193b,2641,379,26737,2648,0,0,2648,1.0,0.0,0.0,1.0,0.0,0.0,0.0,b72ecc0c7a2e5d0bfa989b25,30a97fc4648758ce6526ffde,1.0,1.0,1.0,1.0
LoCoMo,Mem0,507d21c07d1616bd,2549,120,26737,2549,0,0,2539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,094a408e40d1c06ec19e1145,ec48573962844142bda4b9d3,0.0,0.0,0.0,1.0
PersonaLens,Graphiti,42bf46ad2978be5e,92,91,15349,92,0,0,92,0.6,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaLens,Graphiti,cebd68142a1438f8,92,91,15349,92,0,0,92,0.8,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaLens,LangMem+LangGraph,070d2ab005a3a459,82,82,14558,82,0,0,82,0.6,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaLens,LangMem+LangGraph,63343416fcb2284b,82,82,14558,82,0,0,82,0.8,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaLens,Mem0,8901c6050f889374,76,76,13981,76,0,0,76,0.6,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaLens,Mem0,55c920fb7d1e1b22,76,76,13981,76,0,0,76,0.8,1.0,1.0,1.0,0.0,0.0,0.8,185f4b235e6588226311e04c,b1b47319acfc553d3adab044,1.0,1.0,0.19999999999999996,1.0
PersonaMem-v2,Graphiti,71a03893b707fd5a,29,29,30822,29,0,0,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8018f0d1c8ac4ca9c7c5e6aa,cb1da91debf64af25542f3ba,1.0,1.0,1.0,1.0
PersonaMem-v2,Graphiti,2660f50a06cfb495,41,41,30750,41,0,0,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1803dde7b4c8134e0696667e,1803dde7b4c8134e0696667e,0.0,0.0,0.0,0.0
PersonaMem-v2,LangMem+LangGraph,467f24faa9b28ebc,25,25,30900,25,0,0,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8018f0d1c8ac4ca9c7c5e6aa,cb1da91debf64af25542f3ba,1.0,1.0,1.0,1.0
PersonaMem-v2,LangMem+LangGraph,c8719394772c2da0,38,38,30829,38,0,0,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1803dde7b4c8134e0696667e,1803dde7b4c8134e0696667e,0.0,0.0,0.0,0.0
PersonaMem-v2,Mem0,f16f99cd4f38342f,23,23,30916,23,0,0,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8018f0d1c8ac4ca9c7c5e6aa,cb1da91debf64af25542f3ba,1.0,1.0,1.0,1.0
PersonaMem-v2,Mem0,a064b6ae330b6f41,36,36,30832,36,0,0,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1803dde7b4c8134e0696667e,1803dde7b4c8134e0696667e,0.0,0.0,0.0,0.0
