condition,budget,benchmark,N_records,N_clusters,backend_count,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,task_score,task_score_ci_low,task_score_ci_high,task_score_n
privacy_checker,16,ETAPP_150x32,96,32,3,0.3908849375,0.3574078221354167,0.4261674026041667,32,0.56875,0.47129340859375,0.6677314825520833,32,0.13912524999999998,0.08818988880208332,0.19216963828124997,32
privacy_checker,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.05208333333333333,0.0,0.125,32,0.058137229166666665,0.042929237239583334,0.07653265338541666,32,0.12630371875000002,0.04002474921875,0.23425606197916665,32
privacy_checker,16,PersonaLens,96,32,3,0.5073630208333333,0.4693645372395834,0.5427152106770833,32,0.30127646875,0.2623658927083333,0.34063250026041664,32,0.29050058333333334,0.23437460703125002,0.3434403783854167,32
privacy_checker,16,PersonaMem-v2,96,32,3,0.33414853125,0.29534680989583334,0.37412063671874995,32,0.11805550000000001,0.06597219765625001,0.17361103125,32,0.6875,0.54140625,0.8333333333333333,32
stateful_threshold_0p5,16,ETAPP_150x32,96,32,3,0.22703718750000002,0.19720913046875002,0.25695485755208336,32,0.54878471875,0.4463454856770833,0.6507378307291665,32,0.30614515625,0.21966283281250001,0.39992522786458334,32
stateful_threshold_0p5,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.010416666666666666,0.0,0.03125,32,0.06758605208333335,0.049679331770833335,0.08574786015624998,32,0.243564,0.13566779244791666,0.3698047179687499,32
stateful_threshold_0p5,16,PersonaLens,96,32,3,0.18434727083333335,0.14743121927083336,0.22223697604166662,32,0.34213145833333336,0.30767172265625,0.37429672161458327,32,0.14902304166666666,0.09441555260416667,0.20745462421874997,32
stateful_threshold_0p5,16,PersonaMem-v2,96,32,3,0.24103585416666667,0.20099263437500003,0.282201984375,32,0.08333328125,0.04166663541666667,0.12847215651041669,32,0.3645833333333333,0.20833333333333331,0.5208333333333333,32
stateful_threshold_1p0,16,ETAPP_150x32,96,32,3,0.2639295625,0.23464986953125,0.29146112838541666,32,0.6060763541666667,0.49791226406250005,0.7053833942708333,32,0.3161855,0.2512607552083333,0.3958575427083331,32
stateful_threshold_1p0,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.010416666666666666,0.0,0.03125,32,0.06785683333333334,0.050492778125,0.08661242890625,32,0.2564112083333333,0.139140290625,0.3852132856770833,32
stateful_threshold_1p0,16,PersonaLens,96,32,3,0.19768645833333334,0.15675936041666666,0.24067704973958334,32,0.34554815625,0.3151459674479167,0.37473397187499996,32,0.17700283333333333,0.12229828437500001,0.23611942916666667,32
stateful_threshold_1p0,16,PersonaMem-v2,96,32,3,0.24250791666666666,0.20161304427083332,0.28455919531249996,32,0.09374996875,0.04513885416666667,0.14930553125,32,0.41666666666666663,0.25,0.5833333333333333,32
stateful_threshold_1p5,16,ETAPP_150x32,96,32,3,0.29746154166666666,0.2695767463541666,0.3251219690104167,32,0.6059027499999999,0.5012716677083333,0.7073523848958332,32,0.33801673958333334,0.2533472854166666,0.4332962570312499,32
stateful_threshold_1p5,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.041666666666666664,0.0,0.09375,32,0.07343029166666667,0.05435433723958334,0.095000946875,32,0.4166046666666666,0.29299481822916673,0.5409108135416666,32
stateful_threshold_1p5,16,PersonaLens,96,32,3,0.21849352083333332,0.17993132135416667,0.25780519166666666,32,0.34373387499999997,0.31349580052083326,0.37361476562499996,32,0.19958368750000002,0.139289653125,0.2616853322916667,32
stateful_threshold_1p5,16,PersonaMem-v2,96,32,3,0.24138431249999998,0.20214215364583332,0.28113721770833333,32,0.09374994791666666,0.052083301822916664,0.14236102083333335,32,0.6458333333333333,0.47916666666666663,0.7916666666666666,32
theory_of_mind,16,ETAPP_150x32,96,32,3,0.41664592708333337,0.369872715625,0.46644390677083336,32,0.5366319270833333,0.42169849114583324,0.6572960278645832,32,0.33679927083333333,0.24311129374999998,0.44737051302083325,32
theory_of_mind,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.267361125,0.14583335364583333,0.3888888963541666,32,0.08789966666666667,0.06094896223958333,0.11793449114583326,32,0.48701115625,0.3497851609375,0.6238597341145833,32
theory_of_mind,16,PersonaLens,96,32,3,0.6375765104166666,0.5848184583333333,0.6830715794270833,32,0.37864448958333335,0.3511400575520834,0.40903344557291665,32,0.26653007291666664,0.20243232447916665,0.3239319182291666,32
theory_of_mind,16,PersonaMem-v2,96,32,3,0.46965075,0.42666870859375,0.5160418091145832,32,0.10763882291666667,0.059027718750000006,0.16319436458333333,32,0.7291666666666666,0.5729166666666667,0.8645833333333333,32
undefended,16,ETAPP_150x32,96,32,3,0.47519615625,0.4445425424479167,0.5048175653645832,32,0.6050346979166666,0.5031611320312499,0.7116348218749999,32,0.36042278125,0.2772574380208333,0.4525233697916667,32
undefended,16,LoCoMo_10conv_1523QA_20speakers,96,32,3,0.3368055729166667,0.19791667708333333,0.4826388963541666,32,0.08873683333333335,0.06327457942708334,0.11853214869791662,32,0.6396180520833333,0.5191056367187499,0.76607054453125,32
undefended,16,PersonaLens,96,32,3,0.7360190104166666,0.7203709723958335,0.7514292026041667,32,0.38374646875000007,0.3537405473958334,0.4111204666666667,32,0.2683529895833333,0.20903384609375,0.3276108981770834,32
undefended,16,PersonaMem-v2,96,32,3,0.49380131250000003,0.4497673125,0.5369434143229167,32,0.11805551041666668,0.059027739583333336,0.18402772942708334,32,0.75,0.59375,0.8854166666666666,32
