benchmark,backend,source,task_score_mean,task_score_ci95,N
ETAPP,Graphiti,S,0.63642578125,0.020661257668269463,512
ETAPP,Graphiti,swap S,0.57392578125,0.02191695326150091,512
ETAPP,Graphiti,delete S,0.28125,0.02534253355229731,512
ETAPP,Graphiti,no memory,0.33125000000000004,0.026630799580586572,512
ETAPP,LangMem+LangGraph,S,0.6328125,0.019871759503641038,512
ETAPP,LangMem+LangGraph,swap S,0.5798828125,0.021216858713683874,512
ETAPP,LangMem+LangGraph,delete S,0.28125,0.02534253355229731,512
ETAPP,LangMem+LangGraph,no memory,0.33125000000000004,0.026630799580586572,512
ETAPP,Mem0,S,0.61220703125,0.01888967799600392,512
ETAPP,Mem0,swap S,0.5505859375,0.02144471598373159,512
ETAPP,Mem0,delete S,0.28125,0.02534253355229731,512
ETAPP,Mem0,no memory,0.33125000000000004,0.026630799580586572,512
LoCoMo,Graphiti,S,0.4663533984375,0.03378317250949206,512
LoCoMo,Graphiti,swap S,0.085809220703125,0.019341421873159927,512
LoCoMo,Graphiti,delete S,0.038755873046875,0.012813194717919939,512
LoCoMo,Graphiti,no memory,0.138859287109375,0.02217247508491058,512
LoCoMo,LangMem+LangGraph,S,0.4575597109375,0.03391129278710668,512
LoCoMo,LangMem+LangGraph,swap S,0.07652648437500001,0.017469606337112895,512
LoCoMo,LangMem+LangGraph,delete S,0.03836454296875,0.012727684546945905,512
LoCoMo,LangMem+LangGraph,no memory,0.139460880859375,0.0221890780182586,512
LoCoMo,Mem0,S,0.47132676171875004,0.033874724436392785,512
LoCoMo,Mem0,swap S,0.086291578125,0.019392621658161458,512
LoCoMo,Mem0,delete S,0.0391201484375,0.012845533043015618,512
LoCoMo,Mem0,no memory,0.136448826171875,0.021793382171661102,512
PersonaLens,Graphiti,S,0.8225819082031249,0.02290173256942884,512
PersonaLens,Graphiti,swap S,0.5989687578125,0.02200463054845318,512
PersonaLens,Graphiti,delete S,0.10011150390625001,0.01571354622509798,512
PersonaLens,Graphiti,no memory,0.11208523242187499,0.016232594415729617,512
PersonaLens,LangMem+LangGraph,S,0.7741427695312499,0.025873376173861103,512
PersonaLens,LangMem+LangGraph,swap S,0.552930404296875,0.02471711855248997,512
PersonaLens,LangMem+LangGraph,delete S,0.09826912695312501,0.015106318790975782,512
PersonaLens,LangMem+LangGraph,no memory,0.109867861328125,0.016105521479933684,512
PersonaLens,Mem0,S,0.8005928886718751,0.023612471450418983,512
PersonaLens,Mem0,swap S,0.593160849609375,0.022054111922602922,512
PersonaLens,Mem0,delete S,0.09708416015624999,0.015185288358131719,512
PersonaLens,Mem0,no memory,0.11117702929687501,0.01616221569592396,512
PersonaMem-v2,Graphiti,S,0.751953125,0.03744621146851029,512
PersonaMem-v2,Graphiti,swap S,0.287109375,0.039226608400939084,512
PersonaMem-v2,Graphiti,delete S,0.2265625,0.03629545523386587,512
PersonaMem-v2,Graphiti,no memory,0.228515625,0.03640551164259497,512
PersonaMem-v2,LangMem+LangGraph,S,0.748046875,0.037641758361193406,512
PersonaMem-v2,LangMem+LangGraph,swap S,0.265625,0.03829473221490076,512
PersonaMem-v2,LangMem+LangGraph,delete S,0.2265625,0.03629545523386587,512
PersonaMem-v2,LangMem+LangGraph,no memory,0.228515625,0.03640551164259497,512
PersonaMem-v2,Mem0,S,0.7109375,0.03930585157319245,512
PersonaMem-v2,Mem0,swap S,0.2734375,0.0386465871814129,512
PersonaMem-v2,Mem0,delete S,0.224609375,0.03618427154141825,512
PersonaMem-v2,Mem0,no memory,0.232421875,0.03662228315705464,512
