benchmark,backend,source,mean_state_tokens,mean_task_score_gain,task_score_gain_ci95,score_gain_per_1k_tokens,N
ETAPP,Graphiti,S,815.0078125,0.30517578125,0.03282097687217536,0.3744452219591453,512
ETAPP,Graphiti,M_u,2361.125,0.34248046875,0.036585529471887486,0.1450496982370692,512
ETAPP,Graphiti,H_rel,810.509765625,0.1013671875,0.035483404462099515,0.1250659668755919,512
ETAPP,Graphiti,H_sum,585.765625,0.34306640624999996,0.03126623880107507,0.585671797060471,512
ETAPP,LangMem+LangGraph,S,746.00390625,0.30156249999999996,0.031608563633114206,0.4042371594485199,512
ETAPP,LangMem+LangGraph,M_u,2151.5625,0.322265625,0.03907682926392739,0.14978213507625274,512
ETAPP,LangMem+LangGraph,H_rel,742.818359375,0.11025390624999999,0.03595197089730545,0.14842646908022916,512
ETAPP,LangMem+LangGraph,H_sum,579.92578125,0.3603515625,0.02987509807868583,0.6213753106876553,512
ETAPP,Mem0,S,705.890625,0.28095703125,0.030212732514335455,0.3980177966664453,512
ETAPP,Mem0,M_u,2026.9375,0.32685546875,0.038976574890806616,0.16125582004871883,512
ETAPP,Mem0,H_rel,703.0,0.07861328125,0.037576415972590496,0.11182543563300143,512
ETAPP,Mem0,H_sum,564.603515625,0.348046875,0.030262800895991423,0.6164447534739879,512
LoCoMo,Graphiti,S,2925.857421875,0.327494111328125,0.03689633124755705,0.11193098777802181,512
LoCoMo,Graphiti,M_u,27490.673828125,0.222309779296875,0.03338919770061138,0.008086734457175641,512
LoCoMo,Graphiti,H_rel,2922.744140625,0.3019121640625,0.03693518387207894,0.10329750040930338,512
LoCoMo,Graphiti,H_sum,86.072265625,0.3222000234375,0.03656481125068784,3.7433663573033193,512
LoCoMo,LangMem+LangGraph,S,2791.693359375,0.318098830078125,0.03665417337721768,0.11394476008974729,512
LoCoMo,LangMem+LangGraph,M_u,27605.609375,0.224344404296875,0.03396001287814468,0.00812676877548098,512
LoCoMo,LangMem+LangGraph,H_rel,2789.935546875,0.29923296484375,0.036137441875113446,0.1072544364614158,512
LoCoMo,LangMem+LangGraph,H_sum,83.912109375,0.318994564453125,0.03618220877120961,3.8015319460931503,512
LoCoMo,Mem0,S,2746.984375,0.334877935546875,0.03712090793200352,0.12190747737575866,512
LoCoMo,Mem0,M_u,27608.373046875,0.23642976367187502,0.03299213234307457,0.008563697805388666,512
LoCoMo,Mem0,H_rel,2745.580078125,0.29775735546875,0.03675955028635992,0.10844970716428463,512
LoCoMo,Mem0,H_sum,81.08984375,0.326379169921875,0.03605405736453696,4.02490811214413,512
PersonaLens,Graphiti,S,322.41796875,0.71049667578125,0.026651870091647916,2.203650989229334,512
PersonaLens,Graphiti,M_u,15044.359375,0.4297523828125,0.030479049448370016,0.028565681801422667,512
PersonaLens,Graphiti,H_rel,321.587890625,0.39090298046875,0.0320474089547598,1.215540111628698,512
PersonaLens,Graphiti,H_sum,307.171875,0.507985744140625,0.032532915808115306,1.653750832951829,512
PersonaLens,LangMem+LangGraph,S,289.890625,0.664274908203125,0.02892651869484124,2.2914673705061173,512
PersonaLens,LangMem+LangGraph,M_u,14272.244140625,0.41476693359375,0.029309921947574827,0.029061087345972684,512
PersonaLens,LangMem+LangGraph,H_rel,289.60546875,0.389080791015625,0.031804021164839165,1.3434856485790205,512
PersonaLens,LangMem+LangGraph,H_sum,276.44921875,0.5219536835937499,0.031682427249090865,1.8880635147164797,512
PersonaLens,Mem0,S,268.8828125,0.6894158593749999,0.02646610341826525,2.5640012203271634,512
PersonaLens,Mem0,M_u,13707.345703125,0.43392682421875006,0.03134585256034149,0.03165651714174127,512
PersonaLens,Mem0,H_rel,268.775390625,0.389130470703125,0.03257806623892228,1.4477905503113806,512
PersonaLens,Mem0,H_sum,259.30078125,0.5194206757812501,0.03179127969338908,2.0031589310194184,512
PersonaMem-v2,Graphiti,S,35.146484375,0.5234375,0.050504955020200394,14.893025840511251,512
PersonaMem-v2,Graphiti,M_u,30687.119140625,0.033203125,0.036840892967075524,0.0010819889885344172,512
PersonaMem-v2,Graphiti,H_rel,35.0625,0.0546875,0.028280321684983786,1.5597147950089125,512
PersonaMem-v2,Graphiti,H_sum,34.962890625,0.021484375,0.03083730190723602,0.6144908105692419,512
PersonaMem-v2,LangMem+LangGraph,S,31.3125,0.51953125,0.04993274921359982,16.59181636726547,512
PersonaMem-v2,LangMem+LangGraph,M_u,30789.8671875,0.037109375,0.03641181303586012,0.0012052463485476021,512
PersonaMem-v2,LangMem+LangGraph,H_rel,31.3125,0.04296875,0.026838046282746233,1.372255489021956,512
PersonaMem-v2,LangMem+LangGraph,H_sum,31.236328125,0.021484375,0.029374136137928022,0.6878009128993935,512
PersonaMem-v2,Mem0,S,29.416015625,0.478515625,0.05108955818992086,16.26718013412124,512
PersonaMem-v2,Mem0,M_u,30820.666015625,0.029296875,0.036865794403603665,0.0009505594390837468,512
PersonaMem-v2,Mem0,H_rel,29.416015625,0.037109375,0.026072178365507105,1.2615364185645044,512
PersonaMem-v2,Mem0,H_sum,29.345703125,0.009765625,0.028917581833363164,0.33277870216306155,512
