benchmark,backend,N,TaskScore(S)_mean,TaskScore(S)_ci95,TaskScore(no memory)_mean,TaskScore(no memory)_ci95,TaskScore(delete S)_mean,TaskScore(delete S)_ci95,TaskScore(swap S)_mean,TaskScore(swap S)_ci95,Task Score Gain_mean,Task Score Gain_ci95,Delete Drop_mean,Delete Drop_ci95,Swap Change_mean,Swap Change_ci95
ETAPP,Graphiti,512,0.63642578125,0.020661257668269463,0.33125000000000004,0.026630799580586572,0.28125,0.02534253355229731,0.57392578125,0.02191695326150091,0.30517578125,0.03282097687217536,0.35517578125,0.03425158916273284,0.498046875,0.04335231685425893
ETAPP,LangMem+LangGraph,512,0.6328125,0.019871759503641038,0.33125000000000004,0.026630799580586572,0.28125,0.02534253355229731,0.5798828125,0.021216858713683874,0.30156249999999996,0.031608563633114206,0.3515625,0.033398589894409185,0.431640625,0.04294556211978672
ETAPP,Mem0,512,0.61220703125,0.01888967799600392,0.33125000000000004,0.026630799580586572,0.28125,0.02534253355229731,0.5505859375,0.02144471598373159,0.28095703125,0.030212732514335455,0.33095703125,0.032611845253616004,0.44140625,0.043053939524543484
LoCoMo,Graphiti,512,0.4663533984375,0.03378317250949206,0.138859287109375,0.02217247508491058,0.038755873046875,0.012813194717919939,0.085809220703125,0.019341421873159927,0.327494111328125,0.03689633124755705,0.427597525390625,0.03506610988720392,0.830078125,0.032563400572646985
LoCoMo,LangMem+LangGraph,512,0.4575597109375,0.03391129278710668,0.139460880859375,0.0221890780182586,0.03836454296875,0.012727684546945905,0.07652648437500001,0.017469606337112895,0.318098830078125,0.03665417337721768,0.41919516796875,0.03508405628716185,0.84375,0.03148201541389222
LoCoMo,Mem0,512,0.47132676171875004,0.033874724436392785,0.136448826171875,0.021793382171661102,0.0391201484375,0.012845533043015618,0.086291578125,0.019392621658161458,0.334877935546875,0.03712090793200352,0.43220661328125,0.03489634348025746,0.841796875,0.03164148115280039
PersonaLens,Graphiti,512,0.8225819082031249,0.02290173256942884,0.11208523242187499,0.016232594415729617,0.10011150390625001,0.01571354622509798,0.5989687578125,0.02200463054845318,0.71049667578125,0.026651870091647916,0.722470404296875,0.026463542611371182,0.853515625,0.030658225234583628
PersonaLens,LangMem+LangGraph,512,0.7741427695312499,0.025873376173861103,0.109867861328125,0.016105521479933684,0.09826912695312501,0.015106318790975782,0.552930404296875,0.02471711855248997,0.664274908203125,0.02892651869484124,0.6758736425781249,0.02827983206700255,0.830078125,0.032563400572646985
PersonaLens,Mem0,512,0.8005928886718751,0.023612471450418983,0.11117702929687501,0.01616221569592396,0.09708416015624999,0.015185288358131719,0.593160849609375,0.022054111922602922,0.6894158593749999,0.02646610341826525,0.703508728515625,0.026337586399820007,0.86328125,0.02978762069090973
PersonaMem-v2,Graphiti,512,0.751953125,0.03744621146851029,0.228515625,0.03640551164259497,0.2265625,0.03629545523386587,0.287109375,0.039226608400939084,0.5234375,0.050504955020200394,0.525390625,0.052213333140760335,0.658203125,0.04112535265396377
PersonaMem-v2,LangMem+LangGraph,512,0.748046875,0.037641758361193406,0.228515625,0.03640551164259497,0.2265625,0.03629545523386587,0.265625,0.03829473221490076,0.51953125,0.04993274921359982,0.521484375,0.05108955818992086,0.640625,0.041602697756472934
PersonaMem-v2,Mem0,512,0.7109375,0.03930585157319245,0.232421875,0.03662228315705464,0.224609375,0.03618427154141825,0.2734375,0.0386465871814129,0.478515625,0.05108955818992086,0.486328125,0.05224627773500123,0.625,0.041976020551856306
